who_id,spatial_type,country_code,region,sex,prevalence,ci_low,ci_high,year
8861690,Country,MNG,Western Pacific,Female,17.776922,12.886765,23.446945,2013
8862249,Country,SAU,Eastern Mediterranean,Male,47.186939,34.631744,59.818371,2020
8863885,Country,TUV,Western Pacific,Female,41.796066,18.553553,68.280525,2002
8864950,Country,AZE,Europe,Male,20.322895,10.168776,33.756203,2008
8865216,Country,COL,Americas,Both sexes,31.661507,15.653941,50.196869,2015
8866413,Country,COL,Americas,Both sexes,27.820591,13.310287,46.205475,2005
8866680,Country,NIC,Americas,Female,36.936237,14.152691,67.96228,2006
8866705,Country,MHL,Western Pacific,Female,33.256615,9.0546026,65.264824,2019
8872295,Country,FRA,Europe,Female,34.104942,27.697023,40.666271,2012
8873718,Country,ARG,Americas,Male,32.709671,18.770378,48.919231,2002
8874443,Country,ZWE,Africa,Both sexes,17.803003,8.7658377,30.451685,2015
8874963,Country,GHA,Africa,Both sexes,19.230898,14.376719,24.730879,2012
8877998,Country,GNB,Africa,Female,23.423077,5.5864,52.989643,2001
8878704,Country,QAT,Eastern Mediterranean,Female,57.539932,42.79969,71.543411,2008
8879068,Country,SLB,Western Pacific,Female,23.456791,10.928057,39.055706,2020
8879133,Country,AUS,Western Pacific,Both sexes,25.702333,20.557899,31.354445,2017
8880030,Country,PSE,Eastern Mediterranean,Both sexes,38.982914,29.097569,50.032604,2006
8880195,Country,CRI,Americas,Both sexes,45.109367,37.353386,53.1852,2009
8880461,Country,MDA,Europe,Male,12.337185,7.50527,18.609867,2019
8881839,Country,BRN,Western Pacific,Male,23.071167,8.4484358,42.927437,2001
8882016,Country,BTN,South-East Asia,Both sexes,9.913084,6.1406312,14.580503,2021
8882646,Country,KEN,Africa,Male,8.4997025,3.3085332,16.347101,2021
8883050,Country,GHA,Africa,Female,19.3699,9.7403288,32.015945,2004
8883285,Country,LSO,Africa,Both sexes,11.948076,5.8369622,20.067701,2003
8883912,Country,CYP,Europe,Male,35.408695,27.076778,44.356602,2016
8884177,Country,TTO,Americas,Male,29.313807,13.534531,49.19809,2000
8884407,Country,NRU,Western Pacific,Both sexes,43.284336,33.590309,53.008831,2003
8884754,Country,UZB,Europe,Both sexes,24.834469,19.246614,30.875387,2017
8887407,Country,BTN,South-East Asia,Female,16.973898,4.415266,38.774784,2000
8887534,Country,SDN,Eastern Mediterranean,Both sexes,19.966154,13.658593,27.263222,2013
8888109,Country,QAT,Eastern Mediterranean,Male,43.042839,27.901167,59.24976,2003
8888740,Country,ATG,Americas,Both sexes,35.349339,18.778839,54.112881,2015
8888991,Country,NRU,Western Pacific,Male,33.70203,24.421001,43.597363,2012
8890463,Country,PRT,Europe,Both sexes,43.456486,35.810055,50.869827,2003
8891561,Country,CYP,Europe,Both sexes,41.21426,34.12709,48.374386,2018
8891794,Country,GUY,Americas,Female,36.477077,19.650824,56.274952,2007
8892936,Country,LBY,Eastern Mediterranean,Both sexes,39.427261,31.72566,47.629887,2010
8893224,Country,VCT,Americas,Male,18.799025,8.9454842,32.086121,2005
8893820,Country,LAO,Western Pacific,Female,20.660725,13.588047,29.171669,2006
8894056,Country,IRL,Europe,Both sexes,32.889389,27.967163,38.007584,2008
8894419,Country,CRI,Americas,Female,54.532516,43.053265,65.564621,2013
8894424,Country,OMN,Eastern Mediterranean,Female,41.973034,31.728462,53.030403,2010
8895392,Country,GIN,Africa,Female,20.213474,5.6008148,42.671036,2010
8898202,Country,DZA,Africa,Both sexes,28.138479,19.670673,37.17205,2019
8899738,Country,MHL,Western Pacific,Male,25.723085,12.258129,42.102657,2010
8900959,Country,ZMB,Africa,Female,19.566917,12.371761,28.14238,2007
8901806,Country,NRU,Western Pacific,Male,43.230057,27.778793,59.459774,2000
8902271,Country,FSM,Western Pacific,Female,40.150719,24.300732,57.206177,2014
8902857,Country,PAN,Americas,Both sexes,37.468807,20.881662,55.60854,2002
8903796,Country,FRA,Europe,Male,34.197781,25.417587,43.990971,2000
8904612,Country,EST,Europe,Female,12.986723,7.6010695,19.536684,2003
8905151,Country,SMR,Europe,Female,29.359066,7.5924606,58.591496,2018
8905208,Country,STP,Africa,Male,13.569303,8.7220173,19.838451,2012
8906198,Country,HND,Americas,Male,24.227829,7.5171561,49.021717,2001
8906986,World Bank Income Group,WB_UMI,,Male,22.348461,18.914606,26.279486,2006
8907256,Country,LVA,Europe,Male,16.585203,11.001687,23.102352,2009
8907371,Country,BEL,Europe,Male,36.1698,30.097908,42.534058,2006
8908175,Country,MDV,South-East Asia,Male,22.221241,11.082966,36.197102,2007
8910182,Country,AND,Europe,Male,33.254539,19.469311,49.525848,2001
8912630,Country,IND,South-East Asia,Both sexes,25.445387,19.303686,32.396729,2003
8912752,Country,DNK,Europe,Female,27.169109,16.889626,38.771267,2000
8913021,Country,BLZ,Americas,Male,28.532181,10.551596,53.68148,2002
8913510,Country,GNQ,Africa,Male,16.769415,5.942606,35.254787,2012
8914341,Country,LAO,Western Pacific,Female,20.774239,10.969501,33.572834,2000
